Query Term: 1
184 C.A.233.pdf 0.013
185 C.A.234.pdf 0.029
186 C.A.235.pdf 0.016
187 C.A.236.pdf 0.0
188 C.A.237.pdf 0.0
189 C.A.238.pdf 0.031
190 C.A.243.pdf 0.037
191 C.A.244.pdf 0.059
192 C.A.245.pdf 0.0
193 C.A.246.pdf 0.01
194 C.A.247.pdf 0.058
195 C.A.248.pdf 0.024
196 C.A.249.pdf 0.018
197 C.A.250.pdf 0.061
198 C.M.A.1.pdf 0.0
199 C.M.A.2.pdf 0.0
200 C.M.A.3.pdf 0.011
201 C.M.A.4.pdf 0.0
202 C.M.A.5.pdf 0.0
203 C.M.A.6.pdf 0.0
204 C.M.A.7.pdf 0.026
205 C.M.A.8.pdf 0.0
206 C.M.A.9.pdf 0.017
207 C.M.A.10.pdf 0.0
208 C.M.A.11.pdf 0.005
209 C.M.A.12.pdf 0.013
210 C.M.A.13.pdf 0.0
211 C.M.A.14.pdf 0.014
212 C.M.A.15.pdf 0.01
213 C.M.A.16.pdf 0.013
214 C.M.A.17.pdf 0.013
215 C.M.A.18.pdf 0.012
216 C.M.A.19.pdf 0.036
217 C.M.A.20.pdf 0.0
218 C.M.A.21.pdf 0.013
219 C.M.A.22.pdf 0.0
220 C.M.A.23.pdf 0.026
221 C.M.A.24.pdf 0.045
222 C.M.A.26.pdf 0.016
223 C.M.A.27.pdf 0.014
224 C.M.A.28.pdf 0.017
225 C.M.A.29.pdf 0.021
226 C.M.A.30.pdf 0.02
227 C.M.A.31.pdf 0.021
228 C.M.A.33.pdf 0.036
229 C.M.A.34.pdf 0.015
230 C.M.A.35.pdf 0.013
231 C.M.A.37.pdf 0.023
232 C.M.A.39.pdf 0.012
233 C.M.A.40.pdf 0.027
234 C.M.A.42.pdf 0.013
235 C.M.A.43.pdf 0.028
236 C.M.A.44.pdf 0.01
237 C.M.A.45.pdf 0.008
238 C.M.A.46.pdf 0.018
239 C.M.A.47.pdf 0.034
240 C.M.A.48.pdf 0.01
241 C.M.A.49.pdf 0.033
242 C.M.A.50.pdf 0.025
243 C.M.A.51.pdf 0.021
244 C.M.A.52.pdf 0.0
245 C.M.A.53.pdf 0.022
246 C.M.A.54.pdf 0.018
247 C.M.A.55.pdf 0.066
248 C.M.A.56.pdf 0.027
249 C.M.A.57.pdf 0.0
250 C.M.A.58.pdf 0.024
251 C.M.A.59.pdf 0.022
252 C.M.A.60.pdf 0.008
253 C.M.A.61.pdf 0.013
254 C.M.A.63.pdf 0.0
255 C.M.A.65.pdf 0.0
256 C.M.A.66.pdf 0.015
257 C.M.A.67.pdf 0.013
258 C.M.A.68.pdf 0.013
259 C.M.A.69.pdf 0.0
260 C.M.A.70.pdf 0.034
261 C.M.A.71.pdf 0.0
262 C.M.A.72.pdf 0.0
263 C.M.A.73.pdf 0.022
264 C.M.A.74.pdf 0.035
265 C.M.A.75.pdf 0.009
266 C.M.A.76.pdf 0.007
267 C.M.A.77.pdf 0.013
268 C.M.A.78.pdf 0.0
269 C.M.A.79.pdf 0.0
270 C.M.A.80.pdf 0.027
271 C.M.A.81.pdf 0.0
272 C.M.A.82.pdf 0.019
273 C.M.A.84.pdf 0.035
274 C.M.A.85.pdf 0.0
275 C.M.A.86.pdf 0.04
276 C.M.A.87.pdf 0.0
277 C.M.A.88.pdf 0.011
278 C.M.A.89.pdf 0.034
279 C.M.A.91.pdf 0.014
280 C.M.A.92.pdf 0.0
281 C.M.A.93.pdf 0.011
282 C.M.A.94.pdf 0.014
283 C.M.A.95.pdf 0.018
284 C.M.A.96.pdf 0.01
285 C.M.A.97.pdf 0.02
286 C.M.A.98.pdf 0.015
287 C.M.A.99.pdf 0.014
288 C.M.A.100.pdf 0.031
289 C.M.A.101.pdf 0.0
290 C.M.A.102.pdf 0.008
291 C.M.A.103.pdf 0.008
292 C.M.A.104.pdf 0.019
293 C.M.A.105.pdf 0.026
294 C.M.A.106.pdf 0.018
295 C.M.A.107.pdf 0.013
296 C.M.A.108.pdf 0.032
297 C.M.A.109.pdf 0.0
298 C.M.A.110.pdf 0.032
299 C.M.A.111.pdf 0.021
300 C.M.A.112.pdf 0.02
301 C.M.A.113.pdf 0.0
302 C.M.A.114.pdf 0.009
303 C.M.A.115.pdf 0.034
304 C.M.A.116.pdf 0.013
305 C.M.A.117.pdf 0.03
306 C.M.A.118.pdf 0.014
307 C.M.A.119.pdf 0.013
308 C.M.A.120.pdf 0.012
309 C.P.1.pdf 0.0
310 C.P.2.pdf 0.0
311 C.P.3.pdf 0.006
312 C.P.4.pdf 0.0
313 C.P.5.pdf 0.008
314 C.P.6.pdf 0.017
315 C.P.7.pdf 0.027
316 C.P.8.pdf 0.0
317 C.P.9.pdf 0.032
318 C.P.10.pdf 0.016
319 C.P.12.pdf 0.0
320 C.P.14.pdf 0.052
321 C.P.15.pdf 0.051
322 C.P.16.pdf 0.032
323 C.P.18.pdf 0.008
324 C.P.19.pdf 0.036
325 C.P.20.pdf 0.0
326 C.P.21.pdf 0.026
327 C.P.22.pdf 0.009
328 C.P.23.pdf 0.0
329 C.P.24.pdf 0.012
330 C.P.25.pdf 0.0
331 C.P.27.pdf 0.0
332 C.P.28.pdf 0.0
333 C.P.29.pdf 0.042
334 C.P.30.pdf 0.007
335 C.P.31.pdf 0.024
336 C.P.32.pdf 0.0
337 C.P.33.pdf 0.02
338 C.P.34.pdf 0.023
339 C.P.35.pdf 0.029
340 C.P.36.pdf 0.032
341 C.P.37.pdf 0.033
342 C.P.38.pdf 0.015
343 C.P.39.pdf 0.021
344 C.P.40.pdf 0.0
345 C.P.41.pdf 0.013
346 C.P.42.pdf 0.0
347 C.P.43.pdf 0.0
348 C.P.44.pdf 0.037
349 C.P.45.pdf 0.008
350 C.P.46.pdf 0.036
351 C.P.47.pdf 0.014
352 C.P.49.pdf 0.0
353 C.P.50.pdf 0.054
354 C.P.51.pdf 0.032
355 C.P.52.pdf 0.0
356 C.P.53.pdf 0.016
357 C.P.55.pdf 0.04
358 C.P.56.pdf 0.007
359 C.P.57.pdf 0.035
360 C.P.58.pdf 0.036
361 C.P.59.pdf 0.0
362 C.P.60.pdf 0.0
363 C.P.61.pdf 0.019
364 C.P.62.pdf 0.028
365 C.P.63.pdf 0.0
366 C.P.64.pdf 0.004
367 C.P.66.pdf 0.006
368 C.P.67.pdf 0.045
369 C.P.68.pdf 0.049
370 C.P.69.pdf 0.04
371 C.P.70.pdf 0.036
372 C.P.72.pdf 0.0
373 C.P.73.pdf 0.058
374 C.P.74.pdf 0.036
375 C.P.75.pdf 0.0
376 C.P.76.pdf 0.037
377 C.P.77.pdf 0.04
378 C.P.78.pdf 0.05
379 C.P.79.pdf 0.017
380 C.P.80.pdf 0.047
381 C.P.81.pdf 0.03
382 C.P.83.pdf 0.0
383 C.P.84.pdf 0.0
384 C.P.85.pdf 0.025
385 C.P.87.pdf 0.029
386 C.P.88.pdf 0.044
387 C.P.89.pdf 0.01
388 C.P.95.pdf 0.037
389 C.P.96.pdf 0.048
390 C.P.97.pdf 0.018
391 C.P.98.pdf 0.025
392 C.P.99.pdf 0.009
393 C.P.101.pdf 0.017
394 C.P.103.pdf 0.012
395 C.P.104.pdf 0.0
396 C.P.105.pdf 0.0
397 C.P.106.pdf 0.0
398 C.P.107.pdf 0.0
399 C.P.108.pdf 0.0
400 C.P.110.pdf 0.03
401 C.P.111.pdf 0.04
402 C.P.112.pdf 0.019
403 C.P.113.pdf 0.0
404 C.P.114.pdf 0.0
405 C.P.115.pdf 0.02
406 C.P.116.pdf 0.014
407 C.P.117.pdf 0.028
408 C.P.118.pdf 0.013
409 C.P.120.pdf 0.021
410 C.P.121.pdf 0.0
411 C.P.122.pdf 0.0
412 C.P.125.pdf 0.017
413 C.P.126.pdf 0.012
414 C.P.127.pdf 0.0
415 C.P.128.pdf 0.0
416 C.P.129.pdf 0.016
417 C.P.130.pdf 0.016
418 C.P.131.pdf 0.034
419 C.P.134.pdf 0.0
420 C.P.135.pdf 0.0
421 C.P.136.pdf 0.0
422 C.P.138.pdf 0.013
423 C.P.139.pdf 0.005
424 C.P.140.pdf 0.008
425 C.P.141.pdf 0.0
426 C.P.142.pdf 0.0
427 C.P.143.pdf 0.0
428 C.P.144.pdf 0.025
429 C.P.145.pdf 0.0
430 C.P.146.pdf 0.022
431 C.P.147.pdf 0.017
432 C.P.148.pdf 0.0
433 C.P.149.pdf 0.025
434 C.P.150.pdf 0.0
435 C.P.151.pdf 0.0
436 C.P.152.pdf 0.012
437 C.P.153.pdf 0.03
438 C.P.155.pdf 0.03
439 C.P.156.pdf 0.049
440 C.P.157.pdf 0.052
441 C.P.158.pdf 0.0
442 C.P.159.pdf 0.017
443 C.P.160.pdf 0.05
444 C.P.162.pdf 0.0
445 C.P.163.pdf 0.05
446 C.P.164.pdf 0.022
447 C.P.165.pdf 0.057
448 C.P.166.pdf 0.011
449 C.P.167.pdf 0.059
450 C.P.168.pdf 0.045
451 C.P.169.pdf 0.0
452 C.P.171.pdf 0.0
453 C.P.172.pdf 0.0
454 C.P.173.pdf 0.0
455 C.P.174.pdf 0.0
456 C.P.176.pdf 0.0
457 C.P.177.pdf 0.0
458 C.P.178.pdf 0.042
459 C.P.179.pdf 0.02
460 C.P.180.pdf 0.0
461 C.P.181.pdf 0.0
462 C.P.182.pdf 0.023
463 C.P.183.pdf 0.0
464 C.P.184.pdf 0.006
465 C.P.185.pdf 0.0
466 C.P.187.pdf 0.035
467 C.P.188.pdf 0.0
468 C.P.189.pdf 0.05
469 C.P.190.pdf 0.017
470 C.P.191.pdf 0.007
471 C.P.192.pdf 0.007
472 C.P.193.pdf 0.0
473 C.P.194.pdf 0.0
474 C.P.195.pdf 0.0
475 C.P.196.pdf 0.056
476 C.P.197.pdf 0.006
477 C.P.198.pdf 0.02
478 C.P.199.pdf 0.072
479 C.P.200.pdf 0.0
480 C.P.201.pdf 0.016
481 C.P.207.pdf 0.072
482 C.P.208.pdf 0.0
483 C.P.209.pdf 0.011
484 C.P.210.pdf 0.023
485 C.P.217.pdf 0.006
486 C.P.218.pdf 0.0
487 C.P.219.pdf 0.007
488 C.P.220.pdf 0.044
489 C.P.221.pdf 0.048
490 C.P.222.pdf 0.04
491 C.P.223.pdf 0.0
492 C.P.224.pdf 0.0
493 C.P.225.pdf 0.008
494 C.P.226.pdf 0.0
495 C.P.228.pdf 0.05
496 C.P.229.pdf 0.015
497 C.P.230.pdf 0.05
498 C.P.231.pdf 0.0
499 C.P.232.pdf 0.0
500 C.P.233.pdf 0.017
501 C.P.234.pdf 0.067
502 C.P.235.pdf 0.005
503 C.P.236.pdf 0.0
504 C.P.237.pdf 0.036
505 C.P.238.pdf 0.0
506 C.P.239.pdf 0.046
507 C.P.240.pdf 0.011
508 C.P.241.pdf 0.02
509 C.P.242.pdf 0.0
510 C.P.246.pdf 0.063
511 C.P.247.pdf 0.01
512 C.P.248.pdf 0.042
513 C.P.249.pdf 0.022
514 C.P.250.pdf 0.01
515 C.P.251.pdf 0.0
516 C.P.252.pdf 0.019
517 C.P.253.pdf 0.0
518 C.P.254.pdf 0.01
519 C.P.255.pdf 0.01
520 C.P.256.pdf 0.043
521 C.P.257.pdf 0.042
522 C.P.258.pdf 0.0
523 C.P.259.pdf 0.013
524 C.P.260.pdf 0.047
525 C.P.261.pdf 0.007
526 C.P.262.pdf 0.0
527 C.P.263.pdf 0.014
528 C.P.264.pdf 0.014
529 C.P.265.pdf 0.0
530 C.P.266.pdf 0.0
531 C.P.267.pdf 0.0
532 C.P.268.pdf 0.059
533 C.P.269.pdf 0.0
534 C.P.270.pdf 0.017
535 C.P.272.pdf 0.025
536 C.P.273.pdf 0.052
537 C.P.274.pdf 0.014
538 C.P.275.pdf 0.006
539 C.P.276.pdf 0.01
540 C.P.278.pdf 0.031
541 C.P.279.pdf 0.013
542 C.P.280.pdf 0.051
543 C.P.281.pdf 0.0
544 C.P.282.pdf 0.0
545 C.P.283.pdf 0.028
546 C.P.284.pdf 0.0
547 C.P.285.pdf 0.008
548 C.P.286.pdf 0.0
549 Const.P.1.pdf 0.015
550 Const.P.2.pdf 0.0
551 Const.P.3.pdf 0.0
552 Const.P.4.pdf 0.026
553 Const.P.5.pdf 0.048
554 Const.P.6.pdf 0.053
555 Const.P.7.pdf 0.0
556 Const.P.8.pdf 0.01
557 Const.P.9.pdf 0.008
558 Const.P.11.pdf 0.0
559 Const.P.13.pdf 0.013
560 Const.P.14.pdf 0.019
561 Const.P.15.pdf 0.022
562 Const.P.18.pdf 0.017
563 Const.P.19.pdf 0.017
564 Const.P.20.pdf 0.013
565 Const.P.21.pdf 0.007
566 Const.P.22.pdf 0.013
567 Const.P.24.pdf 0.015
568 Const.P.25.pdf 0.031
569 Const.P.26.pdf 0.031
570 Const.P.27.pdf 0.055
571 Const.P.28.pdf 0.0
572 Const.P.29.pdf 0.0
573 Const.P.30.pdf 0.006
574 Const.P.31.pdf 0.019
575 Const.P.32.pdf 0.019
576 Const.P.33.pdf 0.017
577 Const.P.34.pdf 0.019
578 Const.P.35.pdf 0.007
579 Const.P.36.pdf 0.006
580 Const.P.37.pdf 0.018
581 Const.P.38.pdf 0.022
582 Const.P.39.pdf 0.016
583 Const.P.40.pdf 0.015
584 Const.P.41.pdf 0.0
585 Const.P.43.pdf 0.005
586 Const.P.46.pdf 0.012
587 Const.P.48.pdf 0.016
588 Const.P.49.pdf 0.041
589 Const.P.50.pdf 0.034
590 Const.P.51.pdf 0.0
591 Const.P.53.pdf 0.017
592 Const.P.54.pdf 0.0
593 Const.P.56.pdf 0.024
594 Const.P.57.pdf 0.058
595 Const.P.58.pdf 0.0
596 Const.P.59.pdf 0.019
597 Const.P.60.pdf 0.0
598 Const.P.61.pdf 0.009
599 Const.P.62.pdf 0.006
600 Const.P.63.pdf 0.014
601 Const.P.64.pdf 0.022
602 Const.P.65.pdf 0.015
603 Const.P.66.pdf 0.012
604 Const.P.67.pdf 0.014
605 Const.P.68.pdf 0.031
606 Const.P.69.pdf 0.026
607 Const.P.70.pdf 0.012
608 Const.P.71.pdf 0.012
609 Const.P.72.pdf 0.019
610 Const.P.73.pdf 0.0
611 Const.P.74.pdf 0.023
612 Const.P.75.pdf 0.0
613 Const.P.76.pdf 0.034
614 Const.P.77.pdf 0.0
615 Const.P.78.pdf 0.008
616 Const.P.79.pdf 0.0
617 Const.P.80.pdf 0.019
618 Const.P.81.pdf 0.024
619 Const.P.82.pdf 0.019
620 Const.P.83.pdf 0.032
621 Const.P.84.pdf 0.006
622 Const.P.86.pdf 0.03
623 Const.P.87.pdf 0.016
624 Const.P.88.pdf 0.033
625 Const.P.89.pdf 0.024
626 Const.P.90.pdf 0.028
627 Const.P.92.pdf 0.02
628 Const.P.93.pdf 0.049
629 Const.P.94.pdf 0.022
630 Const.P.95.pdf 0.022
631 Const.P.96.pdf 0.015
632 Const.P.97.pdf 0.04
633 Const.P.98.pdf 0.026
634 Const.P.100.pdf 0.0
635 Const.P.101.pdf 0.016
636 Const.P.102.pdf 0.039
637 Const.P.103.pdf 0.017
638 Const.P.104.pdf 0.014
639 Const.P.105.pdf 0.026
640 Const.P.106.pdf 0.0
641 Const.P.108.pdf 0.008
642 Const.P.109.pdf 0.0
643 Const.P.111.pdf 0.0
644 Const.P.112.pdf 0.023
645 Const.P.113.pdf 0.011
646 Const.P.114.pdf 0.01
647 Const.P.115.pdf 0.0
648 Const.P.116.pdf 0.013
649 Const.P.117.pdf 0.015
650 Const.P.118.pdf 0.0
651 Const.P.119.pdf 0.035
652 Const.P.120.pdf 0.023
653 Const.P.121.pdf 0.011
654 Const.P.122.pdf 0.016
655 Const.P.123.pdf 0.022
656 Const.P.124.pdf 0.019
657 Const.P.125.pdf 0.0
658 Const.P.126.pdf 0.019
659 Const.P.127.pdf 0.0
660 Const.P.128.pdf 0.01
661 Const.P.129.pdf 0.0
662 Const.P.130.pdf 0.013
663 Const.P.131.pdf 0.021
664 Const.P.132.pdf 0.007
665 Const.P.133.pdf 0.0
666 Const.P.134.pdf 0.0
667 Const.P.135.pdf 0.014
668 Const.P.136.pdf 0.011
669 Const.P.137.pdf 0.03
670 Const.P.138.pdf 0.005
671 Const.P.139.pdf 0.013
672 Const.P.140.pdf 0.0
673 Const.P.141.pdf 0.018
674 Const.P.142.pdf 0.022
675 Const.P.143.pdf 0.009
676 Const.P.144.pdf 0.0
677 Const.P.145.pdf 0.0
678 Const.P.146.pdf 0.022
679 Const.P.148.pdf 0.03
680 Const.P.149.pdf 0.016
681 Const.P.150.pdf 0.006
682 Const.P.151.pdf 0.0
683 Const.P.152.pdf 0.013
684 Const.P.153.pdf 0.0
685 Const.P.154.pdf 0.026
686 Const.P.155.pdf 0.017
687 Const.P.156.pdf 0.031
688 Const.P.157.pdf 0.026
689 Const.P.158.pdf 0.018
690 Const.P.159.pdf 0.015
691 Const.P.160.pdf 0.016
692 Const.P.161.pdf 0.01
693 Const.P.162.pdf 0.033
694 Const.P.163.pdf 0.014
695 Const.P.164.pdf 0.019
696 Const.P.165.pdf 0.022
697 Const.P.166.pdf 0.016
698 Const.P.167.pdf 0.014
699 Const.P.168.pdf 0.016
700 Const.P.169.pdf 0.008
701 Const.P.170.pdf 0.027
702 Const.P.171.pdf 0.016
703 Const.P.173.pdf 0.0
704 Const.P.174.pdf 0.017
705 Const.P.175.pdf 0.034
706 Const.P.177.pdf 0.019
707 Const.P.178.pdf 0.036
708 Const.P.179.pdf 0.011
709 Const.P.180.pdf 0.019
710 Const.P.181.pdf 0.014
711 Const.P.182.pdf 0.034
712 Const.P.183.pdf 0.015
713 Const.P.184.pdf 0.019
714 Const.P.185.pdf 0.011
715 Const.P.186.pdf 0.017
716 Const.P.187.pdf 0.017
717 Const.P.188.pdf 0.014
718 Const.P.189.pdf 0.008
719 Const.P.190.pdf 0.0
720 Const.P.191.pdf 0.013
721 Const.P.192.pdf 0.013
722 Const.P.193.pdf 0.02
723 Const.P.194.pdf 0.02
724 Const.P.195.pdf 0.0
725 Const.P.196.pdf 0.019
726 Crl.A.1.pdf 0.0
727 Crl.A.2.pdf 0.007
728 Crl.A.3.pdf 0.014
729 Crl.A.4.pdf 0.0
730 Crl.A.5.pdf 0.0
731 Crl.A.6.pdf 0.0
732 Crl.A.7.pdf 0.0
733 Crl.A.8.pdf 0.015
734 Crl.A.9.pdf 0.0
735 Crl.A.10.pdf 0.0
736 Crl.A.11.pdf 0.0
737 Crl.A.15.pdf 0.0
738 Crl.A.16.pdf 0.0
739 Crl.A.17.pdf 0.0
740 Crl.A.19.pdf 0.0
741 Crl.A.20.pdf 0.0
742 Crl.A.21.pdf 0.0
743 Crl.A.22.pdf 0.0
744 Crl.A.23.pdf 0.0
745 Crl.A.24.pdf 0.0
746 Crl.A.25.pdf 0.0
747 Crl.A.26.pdf 0.0
748 Crl.A.27.pdf 0.0
749 Crl.A.28.pdf 0.0
750 Crl.A.30.pdf 0.01
751 Crl.A.32.pdf 0.0
752 Crl.A.33.pdf 0.013
753 Crl.A.34.pdf 0.0
754 Crl.A.35.pdf 0.0
755 Crl.A.36.pdf 0.0
756 Crl.A.37.pdf 0.0
757 Crl.A.39.pdf 0.0
758 Crl.A.40.pdf 0.0
759 Crl.A.41.pdf 0.0
760 Crl.A.43.pdf 0.0
761 Crl.A.44.pdf 0.0
762 Crl.A.45.pdf 0.0
763 Crl.A.46.pdf 0.0
764 Crl.A.47.pdf 0.0
765 Crl.A.48.pdf 0.0
766 Crl.A.49.pdf 0.033
767 Crl.A.50.pdf 0.005
768 Crl.A.51.pdf 0.004
769 Crl.A.52.pdf 0.02
770 Crl.A.53.pdf 0.006
771 Crl.A.54.pdf 0.0
772 Crl.A.55.pdf 0.0
773 Crl.A.56.pdf 0.015
774 Crl.A.57.pdf 0.012
775 Crl.A.58.pdf 0.0
776 Crl.A.59.pdf 0.0
777 Crl.A.60.pdf 0.021
778 Crl.A.61.pdf 0.0
779 Crl.A.62.pdf 0.0
780 Crl.A.63.pdf 0.0
781 Crl.A.64.pdf 0.0
782 Crl.A.65.pdf 0.03
783 Crl.A.66.pdf 0.0
784 Crl.A.67.pdf 0.0
785 Crl.A.69.pdf 0.0
786 Crl.A.70.pdf 0.0
787 Crl.A.71.pdf 0.021
788 Crl.A.73.pdf 0.0
789 Crl.A.74.pdf 0.0
790 Crl.A.75.pdf 0.0
791 Crl.A.76.pdf 0.0
792 Crl.A.77.pdf 0.0
793 Crl.A.78.pdf 0.018
794 Crl.A.79.pdf 0.0
795 Crl.A.80.pdf 0.0
796 Crl.A.81.pdf 0.0
797 Crl.A.82.pdf 0.0
798 Crl.A.83.pdf 0.0
799 Crl.A.84.pdf 0.0
800 Crl.A.85.pdf 0.0
801 Crl.A.86.pdf 0.0
802 Crl.A.87.pdf 0.0
803 Crl.A.88.pdf 0.0
804 Crl.A.89.pdf 0.0
805 Crl.A.90.pdf 0.0
806 Crl.A.91.pdf 0.0
807 Crl.A.92.pdf 0.0
808 Crl.A.93.pdf 0.0
809 Crl.A.94.pdf 0.0
810 Crl.A.95.pdf 0.0
811 Crl.A.96.pdf 0.0
812 Crl.A.97.pdf 0.0
813 Crl.A.98.pdf 0.0
814 Crl.A.99.pdf 0.0
815 Crl.A.100.pdf 0.0
816 Crl.A.101.pdf 0.0
817 Crl.A.102.pdf 0.019
818 Crl.A.103.pdf 0.0
819 Crl.A.104.pdf 0.0
820 Crl.A.105.pdf 0.0
821 Crl.A.106.pdf 0.0
822 Crl.A.107.pdf 0.0
823 Crl.A.108.pdf 0.0
824 Crl.A.109.pdf 0.0
825 Crl.A.110.pdf 0.0
826 Crl.A.111.pdf 0.0
827 Crl.A.112.pdf 0.0
828 Crl.A.113.pdf 0.0
829 Crl.A.114.pdf 0.0
830 Crl.A.115.pdf 0.0
831 Crl.A.120.pdf 0.0
832 Crl.A.121.pdf 0.01
833 Crl.A.122.pdf 0.012
834 Crl.A.123.pdf 0.0
